player_id,short_name,team_id,team_name,vaep_count,vaep_mean,vaep_sum,vaep_sum_Offensive,vaep_mean_Offensive,vaep_sum_defensive,vaep_mean_defensive,minutes_played,vaep_rating,actions_p90
120353.0,Mohamed Salah,1612.0,Liverpool FC,1568,0.016798075760975726,26.33938279320994,27.439248122545383,0.01749952048631721,-1.0998653,-0.0007014447,3186.109293416667,0.7440248381582697,44.2922658967132
8717.0,H. Kane,1624.0,Tottenham Hotspur FC,1153,0.01866182957820816,21.517089503674008,22.020754719708286,0.019098659774248298,-0.5036652,-0.0004368302,3989.4264546,0.4854176602498185,26.01125780382496
26150.0,R. Mahrez,1631.0,Leicester City FC,2022,0.008557432568573801,17.303128653656227,18.090990516691004,0.008947077406869933,-0.7878619,-0.00038964485,3063.065477116667,0.508406232404462,59.41107082415421
54.0,C. Eriksen,1624.0,Tottenham Hotspur FC,2959,0.005177942285475665,15.321531222722493,16.758641931399705,0.005663616739236129,-1.4371107,-0.00048567445,3724.3078237,0.3702534471694358,71.50590461543217
25707.0,E. Hazard,1610.0,Chelsea FC,1974,0.007482520493492015,14.770495454153238,15.263919225091772,0.007732481876946187,-0.49342376,-0.0002499614,3495.53614215,0.38029776744237903,50.82482136509297
38021.0,K. De Bruyne,1625.0,Manchester City FC,3528,0.0041748609680955905,14.728909495441243,16.20863860081043,0.0045942853176900314,-1.479729,-0.00041942432,4219.891767316667,0.31413171893568065,75.24363597645153
11066.0,R. Sterling,1625.0,Manchester City FC,1693,0.00851349711505108,14.413350615781479,14.911090865862302,0.008807496081430775,-0.49774027,-0.00029399898,3353.0812744833333,0.3868685096576477,45.441785488327675
8317.0,David Silva,1625.0,Manchester City FC,2925,0.00492164899167963,14.395823300662917,14.280414932487068,0.004882193139311818,0.11540837,3.9455852e-05,3195.6901501,0.4054285729231664,82.37657208154624
8325.0,S. Agüero,1625.0,Manchester City FC,982,0.014403913343778031,14.144642903590027,14.694429863888688,0.014963777865467097,-0.549787,-0.00055986457,2231.2626474666667,0.5705369839666624,39.60985951176343
15808.0,Roberto Firmino,1612.0,Liverpool FC,1633,0.008297381702870539,13.54962432078759,13.919461738753345,0.008523858994949996,-0.3698374,-0.00022647728,2959.1001872333336,0.41210709733050505,49.66712537618145
28292.0,A. Doucouré,1644.0,Watford FC,2814,0.004790980613453039,13.48181944625685,11.270664844545536,0.0040052113875428345,2.2111547,0.00078576925,3496.8819061833333,0.34698448009284955,72.42452184392474
7905.0,R. Lukaku,1611.0,Manchester United FC,1009,0.012325860741343541,12.436793488015633,12.955911164552186,0.012840348032261828,-0.51911765,-0.00051448727,3891.3124842,0.28764367253110024,23.336599249923584
12829.0,J. Vardy,1631.0,Leicester City FC,757,0.01613693297740186,12.215658263893209,12.74235829577862,0.01683270580684098,-0.5267,-0.0006957728,3660.3684728333333,0.30035480086500244,18.612880234776885
25553.0,Azpilicueta,1610.0,Chelsea FC,3269,0.0037095698472312554,12.126583830598975,10.873431951767998,0.003326225742357907,1.2531519,0.0003833441,3489.83949055,0.3127343099042941,84.3047368787819
49872.0,X. Shaqiri,1639.0,Stoke City FC,1722,0.0069592279905785,11.983790599776178,12.811839170905508,0.007440092433743036,-0.8280486,-0.00048086446,3876.4344835166667,0.2782302031843998,39.98003852741593
105339.0,Fernandinho,1625.0,Manchester City FC,3413,0.0034642045196239097,11.823330025476404,10.308874458536971,0.0030204730320940436,1.5144556,0.0004437315,3189.0908492000003,0.333668670041122,96.31898698560286
70086.0,N. Otamendi,1625.0,Manchester City FC,3571,0.003131176426844242,11.181431020260789,9.06028190930374,0.0025371833966126404,2.121149,0.000593993,3482.60185765,0.2889588970995738,92.28445086079074
14703.0,M. Arnautović,1633.0,West Ham United FC,1217,0.009131362220681836,11.112867822569795,11.086349078735337,0.009109571962806358,0.026518742,2.1790256e-05,2731.417509916667,0.36616815276321324,40.100057791363305
25747.0,S. Mané,1612.0,Liverpool FC,1359,0.008130240881619899,11.048997358121444,11.164256593555212,0.00821505268105608,-0.11525923,-8.481179e-05,2595.6450784333333,0.38310698580991315,47.121234338333835
25413.0,A. Lacazette,1609.0,Arsenal FC,959,0.011482401693627735,11.011623224188998,11.380690974128857,0.011867248148205273,-0.36906773,-0.00038484644,2278.7988812,0.43489844512084885,37.875216067575806
14911.0,Son Heung-Min,1624.0,Tottenham Hotspur FC,1397,0.007820580581559766,10.925351072438993,11.234632199617103,0.008041970078466073,-0.3092811,-0.00022138949,2672.659409916667,0.3679038162779476,47.0430311971252
7936.0,P. Pogba,1611.0,Manchester United FC,2208,0.004915690505963605,10.85384463716764,10.358275071368553,0.00469124776782996,0.49556956,0.00022444273,3413.4453904,0.2861759617108206,58.21683878666454
15526.0,P. Groß,1651.0,Brighton & Hove Albion FC,1797,0.005977230058525977,10.74108241517118,11.276021092559889,0.006274914353121808,-0.5349387,-0.0002976843,3000.53583715,0.32217492802339087,53.90037272596486
49876.0,G. Xhaka,1609.0,Arsenal FC,3692,0.002896821724846737,10.695065808134153,8.89957614359539,0.0024105027474527058,1.7954897,0.00048631898,4139.928880683334,0.23250542472439648,80.26224835658387
13484.0,D. Alli,1624.0,Tottenham Hotspur FC,1792,0.005814393740327692,10.419393582667224,10.471066463321447,0.005843229053192772,-0.051672876,-2.883531e-05,3711.4062714,0.2526657966998364,43.45522645764207
454.0,P. van Aanholt,1628.0,Crystal Palace FC,1507,0.006693149963462714,10.08657699493831,9.398676594741643,0.006236679890339511,0.6879004,0.0004564701,2283.0422586833333,0.39762379609564735,59.40757315557531
