player_id,short_name,team_name,success,fail,minutes_played,success_sum,fail_sum,vaep_risk_rating
36.0,T. Alderweireld,Tottenham Hotspur FC,0.14007392324717305,-0.02341195203718825,2267.9222766833336,3.529741899052169,-0.5899609729531221,0.1166619712099848
38.0,D. Blind,Manchester United FC,0.31005346020557917,-0.09248815596483706,382.7413981166667,1.3185588316665962,-0.3933227347023785,0.2175653042407421
48.0,J. Vertonghen,Tottenham Hotspur FC,0.22310186375390934,-0.04629578352965869,4281.4795393,10.613400720467325,-2.2023827770899516,0.17680608022425065
54.0,C. Eriksen,Tottenham Hotspur FC,0.5119919340659578,-0.1379290842462203,3724.3078237,21.186839619034902,-5.707670750821941,0.3740628498197375
56.0,D. Klaassen,Everton FC,0.14385847189395648,-0.05083675630614501,263.83012176666665,0.42171331285499036,-0.1490251956274733,0.09302171558781147
74.0,R. Klavan,Liverpool FC,0.26709588991094513,0.0061442104893699,1515.13044875,4.496501283778343,0.10343644884414971,0.27324010040031504
93.0,J. Guðmunds­son,Burnley FC,0.24856177071312627,-0.08475772912196711,3554.8992038166666,9.817911564526149,-3.3478353752554395,0.16380404159115916
107.0,E. Pieters,Stoke City FC,0.2291967075870768,-0.054278542435314214,2839.1066299833333,7.230154356453568,-1.7122507743770257,0.1749181651517626
116.0,G. Wijnaldum,Liverpool FC,0.22284764216802547,-0.06283007893283678,2497.512961,6.184054162699264,-1.7435437386156991,0.16001756323518868
120.0,J. Locadia,Brighton & Hove Albion FC,0.4016353558395044,-0.10855773473077518,234.60399045,1.046947302063927,-0.2829786418005824,0.2930776211087292
132.0,T. Kongolo,Huddersfield Town FC,0.14583442089242957,-0.01628931219139369,1370.315177,2.220434669754468,-0.24801657465286553,0.1295451087010359
134.0,B. Martins Indi,Stoke City FC,0.15690283056256477,-0.033266577495091175,1295.92377785,2.2592678770888597,-0.47901054203975946,0.12363625306747358
160.0,D. Janmaat,Watford FC,0.40597414531674203,-0.05432676571766758,1897.9727963,8.561420931247994,-1.1456747049232945,0.35164737959907444
173.0,R. van La Parra,Huddersfield Town FC,0.25608124748456657,-0.10448032903696064,2212.73791645,6.296007622232407,-2.568750950925052,0.15160091844760593
179.0,L. Narsingh,Swansea City AFC,0.2968141044971741,-0.10855748917608837,671.3779739333334,2.2141605790238827,-0.809812301537022,0.18825661532108573
261.0,N. Chadli,West Bromwich Albion FC,0.1993586829942596,-0.04270081924009632,595.72502715,1.3195884093260393,-0.282643852234818,0.1566578637541633
262.0,L. Fer,Swansea City AFC,0.2225638489388729,-0.057995073363856287,1453.94782655,3.5955136048141867,-0.936909009644296,0.16456877557501662
284.0,M. van der Hoorn,Swansea City AFC,0.27559071268418167,-0.07498128172799447,2009.2433113833333,6.152542179333977,-1.6739515421213582,0.20060943095618722
340.0,Cuco Martina,Everton FC,0.2601404590396078,-0.04852612807633437,1904.5497764333334,5.505005034501664,-1.0268936264328659,0.21161433096327342
370.0,V. van Dijk,Liverpool FC,0.12602110453133822,-0.04490383751654642,2362.3952281833335,3.3079072888358496,-1.1786734608467668,0.0811172670147918
370.0,V. van Dijk,Southampton FC,0.08352091763855402,-0.03325390337111218,2362.3952281833335,2.1923268586979248,-0.8728762515820563,0.05026701426744184
383.0,D. Tadić,Southampton FC,0.33479130184155204,-0.12267775589493081,3162.2026602,11.763088281057522,-4.3103547337590715,0.21211354594662124
454.0,P. van Aanholt,Crystal Palace FC,0.42562572253902686,-0.026305931731136465,2283.0422586833333,10.796905677102506,-0.6673061532913707,0.3993197908078904
466.0,D. Pröpper,Brighton & Hove Albion FC,0.2041930420281066,-0.05475509368232821,3264.2834411666668,7.40604406548664,-1.9859571736305952,0.1494379483457784
471.0,W. Bony,Swansea City AFC,0.31701543612137295,-0.10277821973514638,756.4873673166667,2.664646363002248,-0.8638936096103862,0.21423721638622656
703.0,M. Yoshida,Southampton FC,0.22808105022679626,-0.0694366735524405,2538.6088669333335,6.433428627613466,-1.958583946339786,0.15864437667435577
3278.0,Bruno Saltor,Brighton & Hove Albion FC,0.23274808321554166,-0.05973595486509618,2096.9172616166666,5.422816370031796,-1.3917928321752697,0.1730121283504455
3319.0,M. Özil,Arsenal FC,0.40246213664541075,-0.11565466503270996,3004.9847695333333,13.437695454814472,-3.861561188319698,0.2868074716127008
3324.0,Álvaro Morata,Chelsea FC,0.4731535236575911,-0.18808500384403512,2434.4450783666666,12.79851407755632,-5.0875845769187436,0.28506851981355597
3326.0,Jesé Rodríguez,Stoke City FC,0.3080381892323496,-0.0917461666757799,618.0891757666666,2.115500783191994,-0.6300812504487112,0.2162920225565697
3327.0,Joselu,Newcastle United FC,0.2953820517030526,-0.14848927177882723,1776.0426982,5.829012623406015,-2.930258743375793,0.14689277992422536
3343.0,I. Afellay,Stoke City FC,0.11815082828402361,-0.006011843939672258,185.29628796666668,0.2432545544579625,-0.01237747073173523,0.11213898434435135
3348.0,Deulofeu,Watford FC,0.1751499367061106,-0.062086155240210085,961.1327102166667,1.8704703706735746,-0.6630337183661759,0.11306378146590051
3350.0,Fàbregas,Chelsea FC,0.427190496141375,-0.1350847037430162,2741.45564475,13.012486633670283,-4.114763595507481,0.29210579239835877
3351.0,Kiko Femenía,Watford FC,0.26953069378547,-0.0660531015831564,1800.3946864666666,5.391795877011493,-1.3213517012773082,0.2034775922023136
3360.0,Pedro,Chelsea FC,0.3745357427830971,-0.1410859693257881,1614.9009583333334,6.7204236661167815,-2.531554078573361,0.233449773457309
